Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-07-25,1851.158949035796,1458.5555481910706,0.2963906,32.5942966,0.3274658,32.6102223,0.7011900658812109,4.40078592300415,0.12175323069095612,3107,,,,,80308133,2011897,,,,
2019-07-26,1787.4315670664002,799.9609771966934,0.2963935,32.5628066,0.3345066,32.610597,0.6308070099741927,2.4148621559143066,0.3103248178958893,3234,,,,,77947669,1056216,,,,
2019-07-27,1872.5059196706773,1886.2887805700302,0.2963935,32.5735527,0.3552383,32.6148818,0.8368007789556262,1.6656410694122314,0.25962549448013306,3865,,,,,74231536,2332023,,,,
2019-07-28,1833.4120603372573,1458.2517902851105,0.2963935,32.5856449,0.3113082,32.6099824,0.7396581924028638,5.934747219085693,0.276007741689682,4582,,,,,80100902,1572992,69707,,,
2019-07-29,1834.2163557391025,1595.8131476640701,0.2830397,32.5992158,0.3543763,32.6158454,0.643643022715882,3.8834056854248047,0.2508535087108612,3497,,,,,78527563,1756232,,,,
2019-07-30,1922.7498007572174,3167.8354959487915,0.2963935,32.5930243,0.3275002,32.6098224,0.8524343751106456,4.869786739349365,0.33385494351387024,6620,,,,,78821235,3085497,,,,
2019-07-31,2011.0598625299262,4212.426498562098,0.2965923,32.5802615,0.3277943,32.6128631,0.6336313283654138,4.9639811515808105,0.10808178782463074,7813,,,,,76860481,4409826,,,,
2019-08-01,1858.9140952508515,1861.9929704368114,0.2965183,32.5737595,0.3549373,32.6175629,0.6370777058843625,13.846027374267578,0.25962549448013306,2961,,,,,77202168,2128194,,,,
2019-08-02,1923.7383453477253,3006.8698656857014,0.2963964,32.5930084,0.3274773,32.6125636,1.0321268370573697,3.953455686569214,0.05991575866937637,6071,,,,,75377377,2858445,,,,
2019-08-03,1780.2407648402118,819.721288561821,0.2711295,32.5821083,0.3373585,32.6262759,0.534107001604726,3.359485387802124,0.29093021154403687,3134,,,,,75723514,948380,,,,
2019-08-04,1797.8502066269207,814.0939412117004,0.2960945,32.5935317,0.3308985,32.6108779,0.9783720379099019,7.0918426513671875,0.2149815559387207,4199,,,,,79297007,1212461,,,,
2019-08-05,2014.4409268174554,4119.812311053276,0.295847,32.5888221,0.3274527,32.6137912,0.6635568376048311,4.0530009269714355,0.2532469630241394,6310,,,,,75109863,4460531,,,,
2019-08-06,2057.6282059378636,4420.808586895466,0.035524,32.4551416,0.366525,32.639115,0.904532080847979,10.274370193481445,0.2155924290418625,8798,,,,,59357045,5108182,,,,
2019-08-07,1894.9090683259328,2316.8824501037598,0.2966117,32.5968707,0.35304,32.6164862,0.5147453194732744,6.870512008666992,0.24695715308189392,3817,,,,,77732753,2593911,,,,
2019-08-08,1239.2886776513178,1425.624245017767,0.2966986,32.5759,0.362152,32.6210794,0.7083318705797939,6.296082019805908,0.282738596200943,3505,,,,,43084656,2238613,,,,
2019-08-09,,,0.2928623,32.5707718,0.3279533,32.6093917,2.6705975265612483,15.609980583190918,0.5070013999938965,7494,,,,,,,,,,
2019-08-10,374.45440921296296,,0.2963964,32.5765353,0.3529876,32.6259723,0.7535533308982849,0.7535533308982849,0.7535533308982849,4840,,,,,,,,,,
2019-08-11,1716.9999999999998,,0.2963964,32.5619408,0.3357912,32.6118917,1.2331869436388796,2.225144147872925,0.5286197066307068,4540,,,,,,,,,,
2019-08-12,1716.9999866890603,,0.2969902,32.5954127,0.3276191,32.6119214,2.298615273994585,4.268591403961182,0.5018541812896729,7695,,,,,18842668,,,,,
2019-08-13,1879.0206919734287,2155.6889476776123,0.2963964,32.5753496,0.3551143,32.6148895,0.7320921051951809,2.284106731414795,0.35389095544815063,4269,,,,,76392756,2427145,,,,
2019-08-14,1958.083995429239,3062.6082174777985,0.2963848,32.5861819,0.3391401,32.6101221,0.7236345651799684,9.052419662475586,0.08524694293737411,7224,,,,,76241066,3615384,,,,
2019-08-15,1890.7900447741297,1827.0574896819746,0.2963848,32.5987354,0.2997996,32.6091396,0.510647369906042,1.6181004047393799,0.2808651030063629,4088,,,,,63629954,2606220,,7260000,8100000,180000
